Depth ice/snow [m],Age model [ka],δD [‰ SMOW],delta T [°C],Sample ID
49.5,0.976,-393.8,0.38,91
50.05,0.99,-398.5,-0.4,92
50.6,1.005,-398.7,-0.44,93
51.15,1.019,-401.8,-0.95,94
51.7,1.032,-395.2,0.14,95
52.25,1.047,-390.1,0.99,96
52.8,1.061,-393.9,0.36,97
53.35,1.075,-400.6,-0.75,98
53.9,1.089,-400.9,-0.8,99
54.45,1.104,-391.7,0.72,100
55,1.118,-399.3,-0.54,101
55.55,1.133,-386.7,1.55,102
56.1,1.147,-401.5,-0.9,103
56.65,1.161,-398.1,-0.34,104
57.2,1.174,-390.4,0.93,105
57.75,1.188,-389.8,1.03,106
58.3,1.201,-390.7,0.88,107
58.85,1.215,-399.3,-0.54,108
59.4,1.229,-392.5,0.58,109
59.95,1.244,-393.8,0.37,110
60.5,1.258,-394.4,0.27,111
61.05,1.273,-397,-0.16,112
61.6,1.287,-397.8,-0.3,113
62.15,1.302,-388.6,1.23,114
62.7,1.316,-394.7,0.22,115
63.25,1.33,-390.6,0.89,116
63.8,1.345,-397,-0.17,117
64.35,1.359,-386.6,1.55,118
64.9,1.373,-390.6,0.89,119
65.45,1.387,-397,-0.17,120
66,1.401,-396.1,-0.02,121
66.55,1.416,-398.9,-0.48,122
67.1,1.432,-400.2,-0.7,123
67.65,1.448,-398.7,-0.45,124
68.2,1.463,-389.7,1.04,125
68.75,1.479,-401.6,-0.93,126
69.3,1.494,-397.9,-0.32,127
69.85,1.51,-399.2,-0.54,128
70.4,1.525,-397.6,-0.27,129
70.95,1.541,-390.5,0.9,130
71.5,1.556,-401.5,-0.92,131
72.05,1.572,-395.7,0.04,132
72.6,1.588,-394.5,0.24,133
73.15,1.604,-402.9,-1.15,134
73.7,1.621,-401,-0.84,135
74.25,1.637,-391.5,0.73,136
74.8,1.654,-403.4,-1.24,137
75.35,1.67,-393.4,0.42,138
75.9,1.686,-393.8,0.35,139
76.45,1.702,-400.8,-0.81,140
77,1.72,-399.3,-0.56,141
77.55,1.737,-396.6,-0.11,142
78.1,1.754,-395.3,0.1,143
78.65,1.771,-392.6,0.55,144
79.2,1.787,-404.4,-1.41,145
79.75,1.804,-394.4,0.25,146
80.3,1.822,-402.2,-1.04,147
80.85,1.839,-401.9,-0.99,148
81.4,1.856,-393.8,0.35,149
81.95,1.873,-402.3,-1.06,150
82.5,1.889,-385.1,1.79,151
83.05,1.905,-395.9,0,152
83.6,1.922,-395.8,0.01,153
84.15,1.938,-398.2,-0.38,154
84.7,1.956,-394.8,0.18,155
85.25,1.973,-397.7,-0.3,156
85.8,1.99,-400.3,-0.73,157
86.35,2.007,-402.4,-1.08,158
86.9,2.025,-396,-0.02,159
87.45,2.044,-401.4,-0.92,160
88,2.061,-386.1,1.62,161
88.55,2.078,-400.1,-0.7,162
89.1,2.095,-400.3,-0.74,163
89.65,2.113,-393.2,0.44,164
90.2,2.13,-399.7,-0.64,165
90.75,2.147,-397.9,-0.34,166
91.3,2.165,-402,-1.02,167
91.85,2.184,-398.7,-0.48,168
92.4,2.202,-398.6,-0.46,169
92.95,2.219,,0.2,170
93.5,2.237,-390.6,0.86,171
94.05,2.253,-394,0.3,172
94.6,2.271,-397.9,-0.35,173
95.15,2.289,-394.8,0.17,174
95.7,2.306,-408.2,-2.05,175
96.25,2.327,-404.3,-1.41,176
96.8,2.347,-399.6,-0.63,177
97.35,2.367,-400.8,-0.83,178
97.9,2.385,-401.5,-0.94,179
98.45,2.405,-407.7,-1.97,180
99,2.424,-400.5,-0.78,181
99.55,2.443,-395.8,0,182
100.1,2.463,-399.7,-0.65,183
100.65,2.481,-399.6,-0.63,184
101.2,2.5,-394.8,0.16,185
101.75,2.518,-398.5,-0.45,186
102.3,2.535,-390.2,0.92,187
102.85,2.553,-396.4,-0.11,188
103.4,2.571,-392.7,0.51,189
103.95,2.589,-400.4,-0.77,190
104.5,2.607,-393.5,0.37,191
105.05,2.625,-390.6,0.85,192
105.6,2.642,-395.2,0.09,193
106.15,2.659,-396.9,-0.19,194
106.7,2.678,-399.1,-0.56,195
107.25,2.697,-396.9,-0.2,196
107.8,2.715,-401,-0.88,197
108.35,2.733,-387.9,1.29,198
108.9,2.75,-390.3,0.89,199
109.45,2.767,-390.8,0.81,200
110,2.784,-390.2,0.91,201
110.55,2.801,-395.6,0.01,202
111.1,2.818,-387.7,1.32,203
111.65,2.835,-388.9,1.12,204
112.2,2.852,-388.9,1.12,205
112.75,2.87,-395.4,0.04,206
113.3,2.888,-399.5,-0.64,207
113.85,2.906,-401.7,-1,208
114.4,2.924,-392.2,0.57,209
114.95,2.943,-393.9,0.29,210
115.5,2.961,-397.7,-0.34,211
116.05,2.98,-401.1,-0.91,212
116.6,3,-395.7,-0.01,213
117.15,3.019,-398.7,-0.51,214
117.7,3.037,-395,0.1,215
118.25,3.056,-394.7,0.15,216
118.8,3.074,-395.8,-0.03,217
119.35,3.092,-391.8,0.63,218
119.9,3.11,,0.95,219
120.45,3.129,-387.9,1.27,220
121,3.147,-404.4,-1.46,221
121.55,3.165,-401.1,-0.91,222
122.1,3.186,-403.4,-1.3,223
122.65,3.207,-391.8,0.62,224
123.2,3.227,-400.5,-0.82,225
123.75,3.247,-406.2,-1.76,226
124.3,3.267,-392.7,0.47,227
124.85,3.287,-400,-0.74,228
125.4,3.307,-401.9,-1.05,229
125.95,3.326,-391.3,0.7,230
126.5,3.346,-399.8,-0.71,231
127.05,3.365,-404.2,-1.44,232
127.6,3.385,-395.6,-0.01,233
128.15,3.405,-397.2,-0.28,234
128.7,3.425,-398.2,-0.44,235
129.25,3.445,-396.6,-0.18,236
129.8,3.465,-395.6,-0.02,237
130.35,3.484,-392.7,0.46,238
130.9,3.503,-401.8,-1.04,239
131.45,3.522,-387.3,1.35,240
132,3.541,-394.6,0.15,241
132.55,3.559,-397.2,-0.29,242
133.1,3.578,-394.5,0.16,243
133.65,3.598,-399.5,-0.67,244
134.2,3.618,-389.9,0.92,245
134.75,3.636,-390.8,0.77,246
135.3,3.654,-394.4,0.17,247
135.85,3.672,-391.7,0.62,248
136.4,3.691,-389.2,1.03,249
136.95,3.709,-401.6,-1.02,250
137.5,3.727,-387.2,1.36,251
138.05,3.746,-387.8,1.26,252
138.6,3.764,-404.9,-1.57,253
139.15,3.783,-388.9,1.07,254
139.7,3.802,-394.9,0.08,255
140.25,3.822,-393.8,0.26,256
140.8,3.842,-399.6,-0.7,257
141.35,3.861,-400.9,-0.92,258
141.9,3.881,-391,0.72,259
142.45,3.9,-396.1,-0.12,260
143,3.92,-398.5,-0.52,261
143.55,3.94,-396.5,-0.19,262
144.1,3.96,-397.8,-0.41,263
144.65,3.98,-392.9,0.4,264
145.2,3.999,-398.7,-0.56,265
145.75,4.019,-398.9,-0.59,266
146.3,4.038,-390.6,0.78,267
146.85,4.057,-390.4,0.81,268
147.4,4.076,-402.3,-1.16,269
147.95,4.095,-389.9,0.89,270
148.5,4.115,-390.3,0.82,271
149.05,4.134,-398.8,-0.59,272
149.6,4.154,-397.8,-0.42,273
150.15,4.173,-394.9,0.06,274
150.7,4.193,-392.2,0.5,275
151.25,4.212,-404.7,-1.57,276
151.8,4.231,-391.2,0.67,277
152.35,4.25,-387.3,1.31,278
152.9,4.269,-396.4,-0.2,279
153.45,4.288,-387,1.36,280
154,4.307,-398.1,-0.48,281
154.55,4.326,-401.4,-1.03,282
155.1,4.347,-395.2,0,283
155.65,4.367,-393.4,0.29,284
156.2,4.387,-394.9,0.04,285
156.75,4.406,-397.1,-0.32,286
157.3,4.426,-400.6,-0.9,287
157.85,4.445,-393,0.35,288
158.4,4.465,-387.1,1.33,289
158.95,4.484,-397.5,-0.39,290
159.5,4.503,-390.4,0.78,291
160.05,4.521,-399.3,-0.7,292
160.6,4.542,-397.5,-0.4,293
161.15,4.562,-399.9,-0.8,294
161.7,4.582,-395,0.01,295
162.25,4.602,-394.1,0.16,296
162.8,4.622,-393.4,0.27,297
163.35,4.642,-398.4,-0.56,298
163.9,4.661,-395.1,-0.01,299
164.45,4.681,-396,-0.16,300
165,4.701,-397.3,-0.38,301
165.55,4.721,-389.3,0.94,302
166.1,4.741,-399.6,-0.76,303
166.65,4.76,-402.3,-1.21,304
167.2,4.781,-396.7,-0.28,305
167.75,4.801,-397.2,-0.37,306
168.3,4.821,-402,-1.16,307
168.85,4.842,-396.9,-0.32,308
169.4,4.863,-390.9,0.67,309
169.95,4.882,-393.4,0.25,310
170.5,4.901,-395.9,-0.16,311
171.05,4.92,-395.1,-0.03,312
171.6,4.939,-392.7,0.37,313
172.15,4.958,-389,0.98,314
172.7,4.978,-397.9,-0.5,315
173.25,4.997,-398.9,-0.66,316
173.8,5.018,-396.8,-0.32,317
174.35,5.037,-396.6,-0.29,318
174.9,5.057,-392.7,0.36,319
175.45,5.077,-400.6,-0.95,320
